Code,E,C,P
SAU,San Antonio Unido,聖安東尼奧聯,圣安东尼奥联
DCC,Deportes Concepcion,康塞普森體育,康塞普森体育
DLS,Deportes Linares,利納雷斯體育,利纳雷斯体育
DRL,Deportes Recoleta,列高列達,列高列达
DLE,Deportes Limache,利馬切,利马切
TDL,Trasandino de Los Andes,特拉桑迪洛,特拉桑迪洛
MPP,Municipal Puente Alto,上普恩特,上普恩特
MPT,Maccabi Petah Tikva*,彼達迪華馬卡比,彼达迪华马卡比
SBB,Iberia 1999**,伊比利亞1999,伊比利亚1999
AUF,Auckland FC,奧克蘭FC,奥克兰FC
VIA,AC Virtus,AC維圖斯,AC维图斯
KKR,Kryvbas Kryvyi Rih,克里維里赫,克里维里赫
PFO,Pafos,帕福斯,帕福斯
CVL,Corvinul Hunedoara,胡內多阿拉,胡内多阿拉
PZR,Polissya Zhytomyr,普萊西亞日托米爾,普莱西亚日托米尔
SMG,Sumgayit,薩姆加耶特,萨姆加耶特
TSV,FK Transinvest,FK特蘭斯,FK特兰斯
NKB,NK Bravo,NK巴禾,NK巴禾
MLH,Malisheva,馬利舒華,马利舒华
SIU,FA Siauliai,FA希奧利艾,FA希奥利艾
NOA,FC Noah,FC諾亞,FC诺亚
ISL,FC Isloch,FC伊斯洛,FC伊斯洛
UNA,UNA Strassen,施特拉森,施特拉森
TLV,Tallinna Kalev,塔林卡列夫,塔林卡列夫
CNT,Caernarfon Town,卡納芬,卡纳芬
TIK,Tikvesh,迪華殊,迪华殊
MBA,Mornar Bar,莫爾納,莫尔纳
DEH,Dender,丹達,丹达
ULM,Ulm,烏爾姆,乌尔姆
RIK,Radnicki 1923,雷尼基1923,雷尼基1923
RSJ,Real San Joaquin,皇家聖祖亞昆,皇家圣祖亚昆
JSC,Japan Soccer College,日本足球學院,日本足球学院
AF2,Afghanistan U20,阿富汗U20,阿富汗U20
TK2,Turkmenistan U20,土庫曼U20,土库曼U20
UTO,USA Oly Men,美國男奧足,美国男奥足
DRO,Dominican Republic Oly Men,多明尼加共和國男奧足,多米尼加共和国男奥足
ISO,Israel Oly Men,以色列男奧足,以色列男奥足
UKO,Ukraine Oly Men,烏克蘭男奧足,乌克兰男奥足
MAO,Mali Oly Men,馬里男奧足,马里男奥足
PYO,Paraguay Oly Men,巴拉圭男奧足,巴拉圭男奥足
UZO,Uzbekistan Oly Men,烏茲別克男奧足,乌兹别克男奥足
GUO,Guinea Oly Men,畿內亞男奧足,几内亚男奥足
JA2,Jamaica U20,牙買加U20,牙买加U20
HA2,Haiti U20,海地U20,海地U20
CW3,Czechia Women U23,捷克女足U23,捷克女足U23
RCS,Rockdale Ilinden,洛克達爾以利亞日,洛克达尔以利亚日
MBY,Moreton City Excelsior,摩頓城精英隊,摩顿城精英队
DHS,Darwin Hearts,達爾文之心,达尔文之心
OCK,O'Connor Knights,奧康納騎士,奥康纳骑士
PRD,Perth RedStar,珀斯紅星,珀斯红星
LJF,Lambton Jaffas,蘭布頓查法斯,兰布顿查法斯
MSJ,Melbourne Srbija,墨爾本塞爾維亞,墨尔本塞尔维亚
GKG,Glenorchy Knights,格林諾治騎士,格林诺治骑士
OKW,Olympic Kingsway,奧林匹克京士威,奥林匹克京士威
AA2,Austria Women U20,奧地利女足U20,奥地利女足U20
APZ,Atletico La Paz,拉巴斯體育會,拉巴斯体育会
MRL,Atletico Morelia,莫雷利亞體育會,莫雷利亚体育会
CUF,Cancun FC,坎昆FC,坎昆FC
TPT,Tapatio,塔巴迪奧,塔巴迪奥
TPI,Tepatitlan,特帕蒂特蘭,特帕蒂特兰
TXA,Tlaxcala,特拉斯卡拉,特拉斯卡拉
CSE,Carrarese,卡拉雷斯,卡拉雷斯
MAV,Mantova,曼托華,曼托华
QSC,Qatar SC,卡塔爾SC,卡塔尔SC
AHA,Al Shamal,艾沙瑪,艾沙玛
AAH,Al Ahli Doha,多哈艾阿里,多哈艾阿里
AKH,Al Khor,艾科爾,艾科尔
AHH,Al Shahania,艾沙哈尼亞,艾沙哈尼亚
AIB,Al Hussein Irbid,艾侯賽因伊比,艾侯赛因伊比
RVK,Ravshan Kulob,拉夫尚庫洛布,拉夫尚库洛布
AKD,Al Khaldiya,艾卡列迪亞,艾卡列迪亚
EBG,East Bengal,東賓高,东宾高
AHM,Al Ahli Manama,艾阿里麥納麥,艾阿里麦纳麦
AYY,Altyn Asyr,阿恩艾沙,阿恩艾沙
CBF,Cebu FC,宿霧FC,宿务FC
NAM,Nam Dinh,南定,南定
THO,Thanh Hoa,清化,清化
SGF,Selangor,雪蘭莪,雪兰莪
FI2,Fiji Women U20,斐濟女足U20,斐济女足U20
Ilves,Ilves,伊斯韋斯,伊斯韦斯
ILV,Ilves,伊斯韋斯,伊斯韦斯
AKJ,Al Khaleej,卡赫利,卡赫利
AOO,Al Kholood,艾科魯特,艾科鲁特
AOD,Al Okhdood,艾科多,艾科多
AOH,Al Orobah,艾奧魯巴,艾奥鲁巴
AQA,Al Qadsiah,艾卡迪沙,艾卡迪沙
ARB,Al Raed,艾拉德,艾拉德
RYH,Al Riyadh,艾利雅德,艾利雅德
DAM,Damac FC,達馬克FC,达马克FC
HSS,Hassleholm,哈斯勒荷姆,哈斯勒荷姆
CYK,Chelyabinsk,車里雅賓斯克,车里雅宾斯克
CTM,Chertanovo Moscow,莫斯科切達奴禾,莫斯科切达奴禾
IMU,Imperial Unido,帝國聯,帝国联
TCI,Turks and Caicos Islands,特克斯和凱科斯群島,特克斯和凯科斯群岛
SSU,Stocksund,史托辛特,史托辛特
FSM,Saint Martin,法屬聖馬丁,法属圣马丁
SKA,Spartak Kostroma,科斯特羅馬斯巴達,科斯特罗马斯巴达
MKP,Mashuk-KMV Pyatigorsk,派迪高斯卡,派迪高斯卡
AG2,Angola U20,安哥拉U20,安哥拉U20
2BW,Botswana U20,博茲瓦納U20,博兹瓦纳U20
2CO,Comoros U20,科摩羅U20,科摩罗U20
2EW,Eswatini U20,伊斯瓦蒂尼U20,伊斯瓦蒂尼U20
LE2,Lesotho U20,萊索托U20,莱索托U20
2MW,Malawi U20,馬拉維U20,马拉维U20
NM2,Namibia U20,納米比亞U20,纳米比亚U20
Z2B,Zimbabwe U20,津巴布韋U20,津巴布韦U20
M2G,Madagascar U20,馬達加斯加U20,马达加斯加U20
